CRASH_RECORD_ID,CRASH_DATE,WEATHER_CONDITION,LIGHTING_CONDITION,ROADWAY_SURFACE_COND,REPORT_TYPE,DATE_POLICE_NOTIFIED,LATITUDE,LONGITUDE,LOCATION,Crash_Type
ca87617224f6b18d02ecdeb01ee1d54b9e7892eaced99727cf517d5101eb370d7aba7eb19901167cbb6feceec0fe2043df00448c0eb27c0f8f7dda8a19f6b10b,08/22/2023 08:05:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/22/2023 08:13:00 AM,41.945863368,-87.759519003,POINT (-87.759519002984 41.945863367999),C
cd5c89884b985dec394fb089115c32a875885eb51e5ed9ae9aaf69bbd9e6e6e51f29bd0c29e0064a9d858c81cb69f600eeee52ff3b94f4f03eec9703b8f8e992,08/22/2023 03:35:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/22/2023 04:43:00 PM,41.771236259,-87.724950377,POINT (-87.724950377022 41.771236259041),C
7406e768c305f7f1bc8e4b494fa945da9d0f16dc9f8303b7e77bc6008adfdbfbf6a7da81c45f1554d5d3c237c78b45e5c85c9c1ee2aa9786c57918522af953d0,08/02/2023 08:50:00 PM,CLEAR,DARKNESS,DRY,ON SCENE,08/02/2023 08:55:00 PM,41.923524728,-87.663669905,POINT (-87.663669905025 41.923524728039),C
eb992317cb39c4f7d6f77104ceb311181781e954d201df55a90a964da736f32ec1b0af270801f3333eedc3af15aaf68e0959bf1b3a54186aa439097156be15d9,08/22/2023 08:34:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),08/22/2023 11:15:00 AM,41.795225992,-87.708358282,POINT (-87.708358282013 41.795225991977),C
a95b5abd4dc0b6df7648315e1cf60eb08ae379d5bbb82a97a9096b72a8cc015d8f16b9678159739198d673643a864258c0792ceaa1a7a4355fb75766df846aa3,08/02/2023 08:00:00 AM,CLEAR,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),08/02/2023 09:30:00 AM,41.944649875,-87.756730307,POINT (-87.756730306959 41.944649874984),C
d7eef728d6f8a24075e388443dae05e690dcf6ed3a0238d9216a4d3acad158d7cb06052fc51c9b583f8a54cbec11032a414d2de96fcbb5982257c87424012fb5,09/08/2023 09:35:00 AM,RAIN,DAYLIGHT,WET,ON SCENE,09/08/2023 09:47:00 AM,41.939956718,-87.643128761,POINT (-87.643128760973 41.939956717959),C
b0c815f6a1415d25c35ff7c9395f21bcd5812be827280f8f7fbbda4fca281a38ed3d27fe24fb440a72cf55368f68f22c43b3a5a78f2462c4b4351ec954c08770,10/01/2023 07:00:00 AM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),10/01/2023 11:30:00 AM,41.690806054,-87.539043105,POINT (-87.539043104964 41.690806053966),C
d170573903b6382cf3f1807a55a2c7885d2829855b73cdaee18bd93e038ef706e6c8101894e7828bc900c1a09d4395892b7d62f67d3521ea96fb4fb8c458ae58,08/02/2023 04:00:00 AM,UNKNOWN,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),08/02/2023 02:30:00 PM,41.920725145,-87.738747987,POINT (-87.738747986953 41.920725144993),C
efbed50970bc9e00e08a187f6d026ede2cd8f1b41e9f0ef0bde88d325f4aa9bf0de6b8c8b2d1f07c8b11abfa13c8bc9dbc75824c7308090a2e6659cf2b470b97,09/06/2023 03:48:00 PM,CLEAR,DAYLIGHT,DRY,ON SCENE,09/06/2023 03:49:00 PM,41.749913202,-87.634585307,POINT (-87.634585307038 41.749913201957),C
d6f60f35012b96b84ef971182566edb23ccd3fb01cf4de1027f4fc4721b96678c98c2c8148876a058571a7f5b584e7d92a81f2986a2412880487d3bafedc5bd1,08/31/2023 03:00:00 PM,UNKNOWN,DARKNESS,UNKNOWN,NOT ON SCENE (DESK REPORT),09/06/2023 03:00:00 PM,41.737779404,-87.63894634,POINT (-87.638946339975 41.737779404014),C
759ce408744a46b45cd53d414a345a380d83f370fbde1f36f2619be0d1ca5029c8331eff54756dfa3116771bdbf55c442d7a272bec5ca7e3f8b29c8130e35040,09/06/2023 01:45:00 PM,CLEAR,DAYLIGHT,DRY,NOT ON SCENE (DESK REPORT),09/06/2023 03:10:00 PM,41.801021752,-87.682386784,POINT (-87.682386784038 41.801021751951),C
