CRASH_RECORD_ID,CRASH_DATE,VEHICLE_ID,PERSON_TYPE,ZIPCODE,CRASH_TYPE,CRASH_MONTH,CRASH_YEAR,CRASH_TIME
1f86bcd0d38e41c44373a0b3197669ad39625c8d028f28f8769619c2b4a57f8719909bdc4ccd7a1801b16e4c9cfaa6e9c1330af6ec48f537f55aa0b18a18ca8e,2020-02-21 17:00:00,805438.0,DRIVER,60639,P,2,2020,17:00:00
91069a7cfa1cec819cbf4c40c6da6859dc3508c324748c2a83890e82e7d2449ece8725580d3effce23b7e9383e6a39873ca89ec215363246bf1a7616187df285,2020-02-23 20:53:00,805407.0,DRIVER,60612,P,2,2020,20:53:00
91069a7cfa1cec819cbf4c40c6da6859dc3508c324748c2a83890e82e7d2449ece8725580d3effce23b7e9383e6a39873ca89ec215363246bf1a7616187df285,2020-02-23 20:53:00,805410.0,DRIVER,60644,P,2,2020,20:53:00
fc394684791def59859341e54c0b0a538e540858d8d3a6d48803fa51c017d55143fb58ca444612f25b40fe26cb260b665842909e1a6a692d0a5bf21ffad5e567,2020-02-24 00:45:00,805443.0,DRIVER,60659,P,2,2020,00:45:00
fc394684791def59859341e54c0b0a538e540858d8d3a6d48803fa51c017d55143fb58ca444612f25b40fe26cb260b665842909e1a6a692d0a5bf21ffad5e567,2020-02-24 00:45:00,805446.0,DRIVER,60645,P,2,2020,00:45:00
57024a450055400881a5e2420482930d15a1f0766e3b8df24f07c6e5813bf66ab360b0ef008ae6d083b135597eeb2b4da606c30bdc81a8bb52249d28c7fb5204,2020-02-24 00:35:00,805442.0,DRIVER,60169,P,2,2020,00:35:00
b28dc77f094b721b7bf6d565a7c40f9cc8ad9040d0380733726d240198648a52c4ff9dce16def0ca98b7180ada032b5e9089509744274e877c99cc5176f01d75,2022-03-25 05:40:00,1239189.0,DRIVER,60655,P,3,2022,05:40:00
cc296349fa134c3f9824bbc96d3a3606b3407ffbf9eabbefdef1b3e44959cfaf9ebbf345e7ad4e14891f32b4e18892941777c42363f4b09e89d997981322633a,2022-03-25 07:07:00,1239168.0,DRIVER,60623,P,3,2022,07:07:00
7d4f50ef71f21c0467da90ec422d21181782bdbb84265ba8e1112bada40ec7560396b41e7d51941274101b21ab7cca2f24dc251e0c4ba91ca2f31c7ba40a84eb,2020-05-06 14:35:00,835115.0,DRIVER,60644,P,5,2020,14:35:00
cc296349fa134c3f9824bbc96d3a3606b3407ffbf9eabbefdef1b3e44959cfaf9ebbf345e7ad4e14891f32b4e18892941777c42363f4b09e89d997981322633a,2022-03-25 07:07:00,1239172.0,DRIVER,60632,P,3,2022,07:07:00
514d52632c9040dce1e94bd7aa67938216c5b9442902f28a4b8ebd2d6d1d08e5740e5a865dd830fbe94d56be831cc6ac75f0e8f68357f44ac9b26bca9bb3559d,2022-03-25 07:05:00,1239174.0,DRIVER,60467,P,3,2022,07:05:00
514d52632c9040dce1e94bd7aa67938216c5b9442902f28a4b8ebd2d6d1d08e5740e5a865dd830fbe94d56be831cc6ac75f0e8f68357f44ac9b26bca9bb3559d,2022-03-25 07:05:00,1239181.0,DRIVER,60171,P,3,2022,07:05:00
6e8be7863013bcb601695ae006382de4c5b39b6362f974b099d6508b0e79ab1a1a523c453bb6710b853993f9c9cfd5f5f895be64be5113e1c8986aaef4182e62,2022-03-25 06:07:00,1239175.0,DRIVER,60608,P,3,2022,06:07:00
ace03ae33135560b9e459072aa5981143531db0cda2dda2681162b47d1731a4805e31a09c8cf8f965bc2763fb0cd2596803180d03994f60f255d2d5ace05ad33,2022-03-25 07:30:00,1239183.0,DRIVER,60613,P,3,2022,07:30:00
c95586a33d17c01f759904e6756550a89fcf25c94e870b493f3e76c1a9a3e5ed1cb251085ca4833422b77035a0ab91c921debe60e0a465f683dfbc88aef4003a,2020-05-07 00:30:00,835290.0,DRIVER,60636,P,5,2020,00:30:00
9db57c36ac4e31e60e72ebc546ecd95cd0631bc07b10ea96a57001f5cb425aa234ae940222b9c44c50aae283e193a03528d88781faa7fb41344cebd7ec72ce29,2016-07-13 08:20:00,56541.0,PASSENGER,60645,P,7,2016,08:20:00
c210e677589588e64be44e691319774a31a552b68a1c23d52b80b95a00989fdee1cc8b7917add9b9ff9ef12106f411ce271f900023e53f15e0cdf3fc097f8cc7,2020-05-07 06:20:00,835317.0,DRIVER,61108,P,5,2020,06:20:00
b25489278fb5b3ff0c61c1cdfd93028308c8879639caa6aa948f67c04ed9a9b82c024a8d875da818c3867389c13de3376cf4812c03fff59911e4f2c2efabe290,2020-05-07 05:21:00,835318.0,DRIVER,60431,P,5,2020,05:21:00
b25489278fb5b3ff0c61c1cdfd93028308c8879639caa6aa948f67c04ed9a9b82c024a8d875da818c3867389c13de3376cf4812c03fff59911e4f2c2efabe290,2020-05-07 05:21:00,835319.0,DRIVER,60630,P,5,2020,05:21:00
7253c9019662db49ee6be684c737744d8fb699e6fd2b10b762c53c77a295192acd7bf4eba718016b5ca2a006a66587cbb4cd69b31b591a74f8b255282c08dcab,2020-05-07 07:45:00,835326.0,DRIVER,60513,P,5,2020,07:45:00
2192d2d241c620bd7bac5d6bd4a5c37627fd29e25e4716ac022942eafa29aa471301473f1f55b537623b8733e65c14219b8149426fea363cb07504c07d61323a,2020-05-07 07:59:00,835327.0,DRIVER,60659,P,5,2020,07:59:00
ace03ae33135560b9e459072aa5981143531db0cda2dda2681162b47d1731a4805e31a09c8cf8f965bc2763fb0cd2596803180d03994f60f255d2d5ace05ad33,2022-03-25 07:30:00,1239188.0,DRIVER,60642,P,3,2022,07:30:00
0adb13d275b044a4b87b12a0f9cbd2ce5c99adf39d76440215431efaf2571381b4e4d08b70a573982ba5a4b88c99c021e3884602bd259a6093c3091f21ef98e9,2022-03-25 07:20:00,1239185.0,DRIVER,60076,P,3,2022,07:20:00
